Filename,Label
yjvnQizc.png,Fake
7YVWMdLX.png,Fake
EijQbJ4R.png,Fake
eSQ59Cr0.png,Fake
YCRUyVUH.png,Real
EXisA9jE.png,Real
f1N0LDQ1.png,Fake
jVntbGdI.png,Fake
F98nS1RY.png,Fake
utUUl6nr.png,Real
EwdboB6w.png,Fake
E9UYbAo8.png,Real
2FoTFHB4.png,Fake
yK7ItW3Y.png,Real
9ZYXYz4y.png,Real
s8j5rXRK.png,Fake
5kqcWTJu.png,Fake
zWFBOrbw.png,Real
lBWgHOz3.png,Real
zUb1i9TJ.png,Fake
HeH5jTkL.png,Fake
vDJkFsbV.png,Real
DVPglquQ.png,Fake
dYWeofg5.png,Fake
VFI3XhXI.png,Fake
ELYgtZFv.png,Fake
lOfeYvVk.png,Real
nZKvAlQb.png,Real
qsrU6Qav.png,Fake
ISjbeO93.png,Real
Li3HAidU.png,Fake
mWenMQoU.png,Fake
mGS436uC.png,Fake
4NcXQFcC.png,Real
at19CfN6.png,Real
7m5Q2AVj.png,Fake
eMbELekI.png,Real
UvoVPfz6.png,Fake
VrgGLFK4.png,Fake
c8AHj6op.png,Fake
hhc5hSoh.png,Real
9XR0OXFH.png,Fake
OFggJQmP.png,Real
fOea5LBz.png,Real
NXujrZ1H.png,Real
oUXYY1Ii.png,Fake
HZ4mPRwa.png,Real
pMGj2z0t.png,Fake
vKsLbJzu.png,Fake
kQqAncA8.png,Real
ZD15dcym.png,Fake
qDVbnaiU.png,Fake
tqeaKcbX.png,Fake
aSGNXqYV.png,Real
lOWjhCXy.png,Fake
bwDohIFp.png,Real
xIjRztmv.png,Fake
KtFvHnRP.png,Fake
Fm1EjI3M.png,Fake
PABBDjOo.png,Real
6q3zcS2j.png,Real
5TqK3sHE.png,Fake
jXS0sfWr.png,Real
zlHUK7xL.png,Real
06juI6HY.png,Fake
oKeAdukl.png,Fake
UAcbwCyK.png,Fake
TvI4XEB0.png,Fake
gIF5VTLy.png,Real
mEAMAgHS.png,Fake
6zQWUeKQ.png,Fake
ztRXPddG.png,Fake
lLsB2NrX.png,Real
tkxFHwtL.png,Fake
l6zWkger.png,Real
Mr2zqviU.png,Fake
Q5Pd8PbW.png,Real
qLGd6bsR.png,Real
Ogy4chHa.png,Real
08J1S9Ch.png,Real
jDqdRw26.png,Fake
VRqj4A2c.png,Real
lnjnnuTq.png,Real
2QQyMsYA.png,Fake
A83ickjF.png,Fake
hpcCIos1.png,Real
E7S0ZYxu.png,Real
HeKAMsrp.png,Real
K2hKb3Jw.png,Fake
RcUc0O4K.png,Real
LCcBHDGq.png,Fake
Jd3fcLKb.png,Real
apzQVMfr.png,Real
4eDpYuds.png,Fake
bxfWolFD.png,Real
U76yJ1p8.png,Real
wVwYXoJ9.png,Fake
8BIYJ7ur.png,Real
QsyKRoiy.png,Fake
yVJuVfeP.png,Fake
8sPeH3B7.png,Fake
jhZK8vaZ.png,Real
JkE7ejPU.png,Real
f5Qgupkv.png,Fake
ExWXq4Xp.png,Real
t8iiUPGR.png,Real
ZeX3xLar.png,Real
jfO9Sc8L.png,Real
I42vJPa2.png,Real
7fQHqR4g.png,Fake
ohJxxTWa.png,Real
6HkVwz25.png,Fake
1pajvm80.png,Fake
Sye1aRHI.png,Real
ctxDaUQB.png,Real
SFy9LqSG.png,Fake
HQucBpCi.png,Real
zX6shItb.png,Fake
1pnGZ3qw.png,Real
SrCVVb1O.png,Real
d1qbCljg.png,Fake
zMijyxdI.png,Fake
hc63qEDn.png,Real
hiXWcNtl.png,Fake
Hs4mtlm3.png,Fake
8SYxoM5A.png,Fake
fczujK96.png,Real
rlP3deQo.png,Fake
0U9VjYc0.png,Real
putBXZGx.png,Fake
pwZmKP6a.png,Real
Ut0lvfR0.png,Fake
xrs5Drxq.png,Fake
iphITJMx.png,Real
RHBrD2Xn.png,Real
0wsOnMJD.png,Real
zK3MzQ7f.png,Real
A8NbALaR.png,Fake
VxvQlzv3.png,Real
2ZP7qiRi.png,Real
9AaxtDeG.png,Fake
qEK43lbr.png,Fake
qIK0cp2d.png,Fake
wHY4YOvO.png,Fake
Igy2i7NT.png,Fake
GtCokU37.png,Real
TFWDJhNE.png,Real
IyQa333s.png,Real
uDtGvcrN.png,Fake
ubVIpD2M.png,Real
5gle3TdP.png,Fake
adKVSOdX.png,Fake
HoxCdi22.png,Fake
4UJ1a1wT.png,Real
q1j4zhhv.png,Real
m9K7wyTc.png,Real
EKQLT7RQ.png,Real
z0EPQ527.png,Fake
YszSD6c7.png,Fake
X7l7aO1h.png,Real
MJF2mEkd.png,Real
oUQAakUU.png,Real
pjcsyaeA.png,Real
VURsO6wz.png,Fake
qDmVsdsb.png,Real
QmYWcX70.png,Real
dPEODMRM.png,Fake
16pevUT4.png,Real
BN8Dh87c.png,Fake
KTKjgV2l.png,Fake
tDo2A4gj.png,Real
pQBTZQFq.png,Real
QAZZwjBa.png,Real
jnJOgSjD.png,Fake
BdQoZ189.png,Real
x2qwCb1u.png,Real
MDQy5qHK.png,Fake
fZ9mqiRV.png,Real
dTjrCqIg.png,Real
AhVcr9Ni.png,Real
I2dwhXpT.png,Fake
WBPKeaXw.png,Real
JnU3BqTy.png,Fake
W1CKEpWC.png,Fake
Z7UTnVYf.png,Real
LIckfD91.png,Real
QcWjgj70.png,Fake
5eqLECR5.png,Fake
OIaofvit.png,Real
t5Ta5M5q.png,Real
3VMDIj7p.png,Fake
VM23N9nm.png,Fake
h4mYMO0e.png,Fake
RrsmUe9i.png,Real
LSRo67fY.png,Real
X99Zp6ov.png,Fake
V8VkZvdx.png,Real
jcsQJowg.png,Real
BuxoIKmJ.png,Fake
Y5TWgAG9.png,Fake
